uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,testingID,testingIDCode,archiveID,archiveIDCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,individualIDList,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName
"720974e6-a1bd-4fdc-8edc-2698abf9cd11","ORNL_028.mosquitoPoint.mos","D07","ORNL","ORNL_028","2016-05-10T20:40Z","2016-05-11T11:14Z","2016-06-01","ORNL_028.20160511.0714.S.01",,,,,,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"cefd76cd-3f40-4738-af9b-f1a820a18bd1","ORNL_028.mosquitoPoint.mos","D07","ORNL","ORNL_028","2016-05-10T20:40Z","2016-05-11T11:14Z","2016-06-01","ORNL_028.20160511.0714.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"687dd315-a31e-4355-9665-2367fed8277b","ORNL_025.mosquitoPoint.mos","D07","ORNL","ORNL_025","2016-05-10T21:00Z","2016-05-11T11:35Z","2016-06-01","ORNL_025.20160511.0735.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",8,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F","MOS.D07.000042|MOS.D07.000041","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"d5d67133-1c60-4357-8bf7-ddc678a21e0f","ORNL_022.mosquitoPoint.mos","D07","ORNL","ORNL_022","2016-05-10T21:06Z","2016-05-11T11:42Z","2016-06-01","ORNL_022.20160511.0742.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",9,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"90bc0b52-b359-41c5-a028-48e22751a978","ORNL_005.mosquitoPoint.mos","D07","ORNL","ORNL_005","2016-05-10T21:23Z","2016-05-11T11:52Z","2016-06-01","ORNL_005.20160511.0752.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"2b84d43c-8521-426b-8a81-d6b793e4084a","ORNL_024.mosquitoPoint.mos","D07","ORNL","ORNL_024","2016-05-10T21:28Z","2016-05-11T12:08Z","2016-06-01","ORNL_024.20160511.0808.S.01",,,,,,"Y",2,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"56750e20-81be-4543-ad54-b0a17153bbfc","ORNL_024.mosquitoPoint.mos","D07","ORNL","ORNL_024","2016-05-10T21:28Z","2016-05-11T12:08Z","2016-06-01","ORNL_024.20160511.0808.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",3,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"4cfe036c-7b73-4274-bf30-c39375dfa790","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-10T21:39Z","2016-05-11T12:26Z","2016-06-01","ORNL_011.20160511.0826.S.01",,,,,,"Y",1,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"a233faed-4a75-46aa-87b2-4c81938fb0cd","ORNL_026.mosquitoPoint.mos","D07","ORNL","ORNL_026","2016-05-10T22:04Z","2016-05-11T12:45Z","2016-06-01","ORNL_026.20160511.0845.S.01",,,,,,"N",,,,,,,,,,,,,,,,,,,"U",,,"No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"c9152c41-fd80-4a7d-b583-3738415cb7ea","ORNL_023.mosquitoPoint.mos","D07","ORNL","ORNL_023","2016-05-10T22:13Z","2016-05-11T12:58Z","2016-06-01","ORNL_023.20160511.0858.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"1788a506-b1d1-4d75-8d0b-d940cb3ef5a6","ORNL_013.mosquitoPoint.mos","D07","ORNL","ORNL_013","2016-05-10T22:26Z","2016-05-11T13:11Z","2016-06-01","ORNL_013.20160511.0911.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",5,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"8b6f8f31-928e-4461-b989-cca92b8a3beb","ORNL_030.mosquitoPoint.mos","D07","ORNL","ORNL_030","2016-05-10T22:52Z","2016-05-11T13:33Z","2016-06-01","ORNL_030.20160511.0933.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",4,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"44a66388-bfd7-4586-8857-584ef84633cf","ORNL_022.mosquitoPoint.mos","D07","ORNL","ORNL_022","2016-05-11T11:42Z","2016-05-11T21:11Z","2016-06-01","ORNL_022.20160511.1711.S.01",,,,,,"Y",2,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"b2f60848-42ed-4e1a-b136-28e9b9f6cba5","ORNL_005.mosquitoPoint.mos","D07","ORNL","ORNL_005","2016-05-11T11:52Z","2016-05-11T21:26Z","2016-06-01","ORNL_005.20160511.1726.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",2,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"5c58186b-4c16-409a-9ce3-50fd826293b1","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-11T12:26Z","2016-05-11T21:49Z","2016-06-01","ORNL_011.20160511.1749.S.01",,,,,,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"0ef81a7f-4a4c-4b65-81bd-cf0e168b9b25","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-11T12:26Z","2016-05-11T21:49Z","2016-06-01","ORNL_011.20160511.1749.S.01",,,,,,"Y",1,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"b590e39d-699c-4562-88c3-4ebba30ac1c1","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-11T12:26Z","2016-05-11T21:49Z","2016-06-01","ORNL_011.20160511.1749.S.01",,,,,,"Y",1,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Coquillettidia",,"perturbans",,"Coquillettidia perturbans","(Walker)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"1d501afa-4cfc-4bf6-8480-b8b859a4abfa","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-11T12:26Z","2016-05-11T21:49Z","2016-06-01","ORNL_011.20160511.1749.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",8,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"84b4db21-6f32-45a3-8bf7-a19a35b0bade","ORNL_026.mosquitoPoint.mos","D07","ORNL","ORNL_026","2016-05-11T12:45Z","2016-05-11T22:14Z","2016-06-01","ORNL_026.20160511.1814.S.01",,,,,,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"9679207c-16da-48ae-8880-a355bdcc78c1","ORNL_022.mosquitoPoint.mos","D07","ORNL","ORNL_022","2016-05-11T21:11Z","2016-05-12T12:06Z","2016-06-01","ORNL_022.20160512.0806.S.01",,,,,,"Y",1,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"4409df27-f064-4901-897c-ad5ad9de9a34","ORNL_024.mosquitoPoint.mos","D07","ORNL","ORNL_024","2016-05-11T21:34Z","2016-05-12T12:26Z","2016-06-01","ORNL_024.20160512.0826.S.01",,,,,,"Y",1,"CULRES","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"restuans",,"Culex restuans","Theobald","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"8d3ac59e-5f64-4f86-90ce-a6168b2669ee","ORNL_024.mosquitoPoint.mos","D07","ORNL","ORNL_024","2016-05-11T21:34Z","2016-05-12T12:26Z","2016-06-01","ORNL_024.20160512.0826.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",2,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"8b84cc90-21bc-4599-bec9-48c9de21e04b","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-11T21:49Z","2016-05-12T12:45Z","2016-06-01","ORNL_011.20160512.0845.S.01",,,,,,"Y",1,"CULSPP3","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"sp.",,"Culex sp.",,"genus","UNK",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","Damaged, analysis affected",,,"M.J. Weissmann","Colorado Mosquito Control"
"ce90fd73-e1c3-470d-b7e9-6920b5cacff1","ORNL_011.mosquitoPoint.mos","D07","ORNL","ORNL_011","2016-05-11T21:49Z","2016-05-12T12:45Z","2016-06-01","ORNL_011.20160512.0845.S.01",,,,,,"Y",2,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex",,"erraticus",,"Culex erraticus","(Dyar and Knab)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"878a6369-3cbf-445c-b844-38c1c9fd0a98","ORNL_023.mosquitoPoint.mos","D07","ORNL","ORNL_023","2016-05-11T22:25Z","2016-05-12T13:28Z","2016-06-01","ORNL_023.20160512.0928.S.01",,,,,,"Y",1,"ANOPUN","Animalia","Arthropoda","Insecta","Diptera","Culicidae",,,"Anopheles",,"punctipennis",,"Anopheles punctipennis","(Say)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
"8e1e811f-2875-475e-870c-bde9bbc9ce2f","ORNL_013.mosquitoPoint.mos","D07","ORNL","ORNL_013","2016-05-11T22:38Z","2016-05-12T13:45Z","2016-06-01","ORNL_013.20160512.0945.S.01",,"ORNL.2016.19.AEDVEX.F.T",,,,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Aedes",,"vexans",,"Aedes vexans","(Meigen)","species","N",,"F",,"Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Colorado Mosquito Control"
